feature,mean,std
roc_10,0.03136332282223094,0.014360166396526678
roc_20,0.018203094205754777,0.005560530894488056
slope_10,0.01676685061095779,0.009766946306602521
roc_5,0.0153379976350019,0.005518572883697521
roc_50,0.012674911312573856,0.004266957998313656
slope_50,0.010758277493102032,0.002768465050794647
slope_20,0.010630173433188774,0.004012360396693881
sp_slope_20,0.006690973590855307,0.002808763612379226
vol_10,0.005212849822625104,0.001965379727472315
changePercent,0.004904907370910474,0.0030725771328676444
r_nvda,0.004266850610957787,0.0026727486130774247
ADX_14,0.0036016949152541918,0.001996403620673471
vol_20,0.0030400078833267064,0.001731018341334389
r_mkt,0.00296117461568777,0.0019292456725753032
vol_50,0.0027369925108395227,0.0015833470185264353
open,0.0026778675601103253,0.0032659428140480126
TR,0.0025793259755616275,0.0018493143905725028
change,0.0025251281040598594,0.002430572429319901
q_cos,0.002488175009854121,0.001860551494741242
quarter,0.002005321245565578,0.001664966439386741
q_3,0.0018698265668111696,0.0016800527394551905
volume,0.0018624359479699816,0.001747523246628871
ema10_above_ema50,0.0017121600315332468,0.0008278922711446378
sp500_close,0.0016136184469846188,0.002004139063911316
PVT,0.0011184469846274858,0.0019098454808046017
ema20_above_ema50,0.0010913480488765725,0.0015435820506615422
q_2,0.0010199054000787772,0.001405997115954648
high,0.00035228616476147556,0.000987602889342676
keymetrics_returnOnEquity,0.00034735908553404913,0.0013145217458730703
keymetrics_evToSales,0.00032272368939688655,0.0009407980076103334
keymetrics_marketCap,0.0003177966101694407,0.0008625872093235721
keymetrics_evToEBITDA,0.00030301537248714205,0.001030546058512136
keymetrics_averageInventory,0.00026606227828137875,0.001150069372527374
keymetrics_averageReceivables,0.00025867165944022387,0.0009542996965112581
keymetrics_returnOnAssets,0.00025128104059909115,0.0010240623338008568
keymetrics_tangibleAssetValue,0.00021679148600704524,0.000888296498993833
keymetrics_investedCapital,0.00021432794639332785,0.0008958312150614681
unadjustedVolume,0.0001847654710287222,0.0010966902528124418
ema20,0.00016259361450527142,0.001052493782562472
keymetrics_capexToDepreciation,0.0001576665352778367,0.00103393557214159
keymetrics_netDebtToEBITDA,0.00014042175798182065,0.0010667752350508855
keymetrics_returnOnInvestedCapital,0.0001379582183680922,0.001253803716935664
keymetrics_daysOfPayablesOutstanding,0.00012810405991324215,0.0011509133983070036
adjClose,0.00012317698068579075,0.0008604068605668466
ewma_vol,0.00012071344107208725,0.0008526801375013099
keymetrics_currentRatio,0.00012071344107207616,0.0011038169583262893
close,0.00010593220338979137,0.0012937477124589727
keymetrics_evToFreeCashFlow,0.00010100512416236218,0.0010707728950328215
keymetrics_capexToOperatingCashFlow,9.854158454863648e-05,0.0010344519883335346
ema10,9.607804493493022e-05,0.0010497078407177521
keymetrics_returnOnCapitalEmployed,8.37603468663184e-05,0.0008342783358047908
keymetrics_incomeQuality,7.390618841146557e-05,0.0010432733960955753
keymetrics_averagePayables,7.390618841145447e-05,0.0011234929125494436
vwap,6.651556957031068e-05,0.0012602901401271213
keymetrics_enterpriseValue,5.666141111543843e-05,0.0010692755240137197
changeOverTime,5.666141111543566e-05,0.0009206884000276501
ema50,4.9270792274280775e-05,0.0011892544521267716
low,4.4343713046857133e-05,0.0010964162881398742
q_4,2.956247536454737e-05,0.0010008643220807637
keymetrics_daysOfSalesOutstanding,-2.463539613775656e-06,0.0010685033321400257
q_sin,-1.2317698068631255e-05,0.0008306732651690149
keymetrics_freeCashFlowToEquity,-1.7244777296065993e-05,0.0009861269359836048
keymetrics_freeCashFlowToFirm,-2.4635396137229204e-05,0.0011156870195333294
keymetrics_daysOfInventoryOutstanding,-2.463539613723198e-05,0.0010446686135643308
keymetrics_interestBurden,-3.202601497837854e-05,0.0009970216003263564
ema100,-3.202601497838964e-05,0.0008049066697475569
keymetrics_researchAndDevelopementToRevenue,-4.4343713046959834e-05,0.0010583361592930057
keymetrics_netCurrentAssetValue,-4.680725266067443e-05,0.0009742637326550483
keymetrics_grahamNetNet,-7.144264879783701e-05,0.0008874181258435144
keymetrics_workingCapital,-8.12968072527176e-05,0.00079748319934939
keymetrics_grahamNumber,-9.115096570759818e-05,0.001135665042090606
keymetrics_freeCashFlowYield,-0.00011332282223102674,0.0010134823521325512
keymetrics_operatingReturnOnAssets,-0.00011578636184475244,0.0008433477297983831
keymetrics_returnOnTangibleAssets,-0.00013303113914077402,0.0009820967951396481
keymetrics_cashConversionCycle,-0.00016013007489166787,0.0009227427610448914
keymetrics_capexToRevenue,-0.00017491131257395265,0.0007847794813842987
keymetrics_evToOperatingCashFlow,-0.0001773748521876728,0.0008961868185587706
keymetrics_earningsYield,-0.00021925502562085696,0.0010789037916935176
ATR_14,-0.00023649980291687856,0.0008643619337638353
keymetrics_taxBurden,-0.0002488175009854765,0.0008808282451268138
q_1,-0.0002562081198266036,0.0011791685460294872
ema40,-0.00029069767441865235,0.0009415621331723391
keymetrics_stockBasedCompensationToRevenue,-0.00030301537248721697,0.0008628404624630516
keymetrics_operatingCycle,-0.0003498226251478553,0.0009740051804227744
keymetrics_intangiblesToTotalAssets,-0.0003572132439890213,0.0009581078977210838
