Date,close,y_true,proba_p1,pred_p1,proba_p2,pred_p2,proba_weighted,pred_weighted,proba_stacking,pred_stacking,ADX_14_lag1,pred_dyn_ADX,no_trade_zone
2025-09-02,162.32,0,0.16363636363636364,0,0.0,0,0.08215811453692122,0,0.0792500514126147,0,98.90021834058393,0,0
2025-09-03,162.13,0,0.16666666666666666,0,0.0,0,0.08367956110241977,0,0.0807162475918857,0,98.78231698471834,0,0
2025-09-04,161.79,0,0.16666666666666666,0,0.0,0,0.08367956110241977,0,0.0807162475918857,0,98.57952293334382,0,0
2025-09-05,151.14,0,0.3023255813953488,0,0.0,0,0.15179083176718003,0,0.17644200104108954,0,98.63662772062848,0,0
2025-09-08,151.41,0,0.1319722070881008,0,0.0,0,0.06626025820109956,0,0.06532736704774725,0,98.70518086836053,0,0
2025-09-09,155.82,0,0.125,0,0.0,0,0.06275967082681481,0,0.06258324153526419,0,98.79118182392672,0,0
2025-09-10,159.54,0,0.16363636363636364,0,0.0,0,0.08215811453692122,0,0.0792500514126147,0,98.87718277949288,0,0
2025-09-11,155.67,0,0.16363636363636364,0,0.0,0,0.08215811453692122,0,0.0792500514126147,0,98.96978013532394,0,0
2025-09-12,158.57,0,0.16363636363636364,0,0.0,0,0.08215811453692122,0,0.0792500514126147,0,99.062377491155,0,0
2025-09-15,161.16,0,0.3023255813953488,0,0.4,0,0.3509598851213726,0,0.20595918925603648,0,99.15775688920505,0,0
2025-09-16,160.46,0,0.3023255813953488,0,0.5372696113459758,1,0.41930953148656247,0,0.21689607129782726,1,99.25313628725507,0,0
2025-09-17,159.16,0,0.3023255813953488,0,0.521877017684926,1,0.41164521071621984,0,0.21564905821028907,1,99.33571267040949,0,0
2025-09-18,157.92,0,0.3023255813953488,0,0.4,0,0.3509598851213726,0,0.20595918925603648,0,99.45492586333617,0,0
2025-09-19,157.39,0,0.3023255813953488,0,0.5,1,0.40075214845992074,0,0.21388567588085858,1,99.5614032368943,0,0
2025-09-22,159.79,1,0.5,1,0.8,1,0.6493767900156445,1,0.5353207620538732,1,99.67930459275989,0,1
2025-09-23,160.9,1,0.5,1,0.8,1,0.6493767900156445,1,0.5353207620538732,1,99.79720594862549,0,1
2025-09-24,160.88,1,0.5,1,0.8,1,0.6493767900156445,1,0.5353207620538732,1,100.0,0,1
2025-09-25,161.27,0,0.4523809523809524,1,0.8,1,0.6254683439863816,1,0.4572059382940385,1,100.0,0,0
2025-09-26,159.46,1,0.5,1,0.8,1,0.6493767900156445,1,0.5353207620538732,1,100.0,0,1
2025-09-29,161.36,1,0.4523809523809524,1,0.6,1,0.5258838173092854,1,0.43359743466833633,1,100.0,0,0
2025-09-30,161.79,1,0.4523809523809524,1,0.5,1,0.47609155397073727,1,0.42189848099645283,1,100.0,0,0
2025-10-01,164.01,1,0.5,1,0.8,1,0.6493767900156445,1,0.5353207620538732,1,100.0,0,1
2025-10-02,169.73,1,0.8,1,0.8,1,0.8000000000000002,1,0.8922701475871703,1,100.0,1,0
2025-10-03,164.67,1,0.9512195121951219,1,1.0,1,0.9755084211407552,1,0.9609869718156709,1,100.0,1,0
