Date,y_true,proba_p1,pred_p1,proba_p2,pred_p2,proba_weighted,pred_weighted,proba_stacking,pred_stacking
2025-10-01,1,1.0,1,1.0,1,1.0,1,0.9634032298489461,1
2025-10-02,1,1.0,1,1.0,1,1.0,1,0.9634032298489461,1
2025-10-03,1,1.0,1,1.0,1,1.0,1,0.9634032298489461,1
2025-10-06,0,1.0,1,1.0,1,1.0,1,0.9634032298489461,1
2025-10-07,1,0.8,1,0.8387235962280454,1,0.8191437435795098,1,0.8755726638767268,1
2025-10-08,1,0.5384615384615384,1,0.5539069901949746,1,0.5460972902061155,1,0.5785092785172344,1
2025-10-09,0,0.9210526315789473,1,0.9642857142857143,1,0.9424257252507243,1,0.9379280029853906,1
2025-10-10,1,1.0,1,1.0,1,1.0,1,0.9634032298489461,1
2025-10-13,0,0.5094339622641508,1,0.23529411764705882,0,0.3739077353256684,0,0.619599761658093,1
2025-10-14,0,0.8085783677487486,1,0.9642857142857143,1,0.8855552450510349,1,0.8655278276972752,1
2025-10-15,0,0.2857142857142857,0,0.1875,0,0.23716019248166206,0,0.2403247707894665,0
2025-10-16,1,0.3,0,0.1875,0,0.24438349320626745,0,0.2606665080532571,0
2025-10-17,0,0.2986702802654348,0,0.1875,0,0.243711145619713,0,0.25872681919682133,0
2025-10-20,1,0.5094339622641508,1,0.23529411764705882,0,0.3739077353256684,0,0.619599761658093,1
2025-10-21,1,0.08888888888888889,0,0.1875,0,0.1376391602759878,0,0.06634069205976405,0
2025-10-22,1,0.5094339622641508,1,0.23529411764705882,0,0.3739077353256684,0,0.619599761658093,1
2025-10-23,1,0.5094339622641508,1,0.23529411764705882,0,0.3739077353256684,0,0.619599761658093,1
2025-10-24,1,0.5094339622641508,1,0.23529411764705882,0,0.3739077353256684,0,0.619599761658093,1
2025-10-27,1,0.8,1,0.9411764705882353,1,0.8697932634274291,1,0.8611991316994551,1
2025-10-28,1,0.8461538461538461,1,0.9411764705882353,1,0.8931300811530772,1,0.8980255969443132,1
2025-10-29,1,1.0,1,1.0,1,1.0,1,0.9634032298489461,1
2025-10-30,1,1.0,1,1.0,1,1.0,1,0.9634032298489461,1
2025-10-31,1,1.0,1,0.9642857142857143,1,0.9823439660972277,1,0.9649191747655624,1
2025-11-03,0,1.0,1,1.0,1,1.0,1,0.9634032298489461,1
2025-11-04,0,1.0,1,1.0,1,1.0,1,0.9634032298489461,1
2025-11-05,0,0.5094339622641508,1,0.42651748163684955,0,0.4684426288586336,1,0.5628945857640448,1
2025-11-06,0,0.5094339622641508,1,0.23529411764705882,0,0.3739077353256684,0,0.619599761658093,1
2025-11-07,0,0.2857142857142857,0,0.1875,0,0.23716019248166206,0,0.2403247707894665,0
2025-11-10,0,0.3160192640906575,0,0.1875,0,0.25248333054022587,0,0.28476203514888226,0
2025-11-11,0,0.5094339622641508,1,0.4313305233289898,0,0.47082204722280635,1,0.5614391468599558,1
2025-11-12,0,0.3076923076923077,0,0.1875,0,0.24827296282720884,0,0.2720706867895727,0
2025-11-13,1,0.42857142857142855,1,0.1875,0,0.30939319972771606,0,0.4832626613916333,1
2025-11-14,0,0.3076923076923077,0,0.1875,0,0.24827296282720884,0,0.2720706867895727,0
2025-11-17,0,0.5094339622641508,1,0.5648943631204555,1,0.536851862361998,1,0.5207161196690959,1
2025-11-18,0,0.2857142857142857,0,0.0,0,0.14446601449210786,0,0.2848473826372813,0
2025-11-19,0,0.2857142857142857,0,0.0,0,0.14446601449210786,0,0.2848473826372813,0
2025-11-20,0,0.3076923076923077,0,0.1875,0,0.24827296282720884,0,0.2720706867895727,0
2025-11-21,0,0.08888888888888889,0,0.0,0,0.04494498228643356,0,0.08211504713877714,0
2025-11-24,0,0.08888888888888889,0,0.0,0,0.04494498228643356,0,0.08211504713877714,0
2025-11-25,0,0.08888888888888889,0,0.0,0,0.04494498228643356,0,0.08211504713877714,0
2025-11-26,0,0.0625,0,0.0,0,0.03160194067014859,0,0.0682316376955101,0
