date;close;open;high;low
29/8/2025;6460.26;6489.28;6491.76;6444.57
28/8/2025;6501.86;6483.84;6508.23;6466.96
27/8/2025;6481.4;6462.26;6487.06;6457.84
26/8/2025;6465.94;6435.49;6468.37;6429.21
25/8/2025;6439.32;6457.67;6466.89;6438.06
22/8/2025;6466.91;6384.59;6478.89;6384.59
21/8/2025;6370.17;6380.83;6393.65;6352.71
20/8/2025;6395.78;6406.62;6408.4;6343.86
19/8/2025;6411.37;6446.24;6456.48;6400.22
18/8/2025;6449.15;6445.02;6455.35;6437.7
15/8/2025;6449.8;6477.38;6481.34;6441.85
14/8/2025;6468.54;6453.46;6473.92;6441.07
13/8/2025;6466.58;6462.67;6480.28;6445.02
12/8/2025;6445.76;6395.17;6446.55;6385.76
11/8/2025;6373.45;6389.67;6407.25;6364.06
8/8/2025;6389.45;6355.22;6395.16;6355.22
7/8/2025;6340;6374.32;6389.71;6310.32
6/8/2025;6345.06;6309.3;6352.83;6301.11
5/8/2025;6299.19;6336.63;6346;6289.37
4/8/2025;6329.94;6271.71;6330.69;6271.71
1/8/2025;6238.01;6287.28;6287.28;6212.69
31/7/2025;6339.39;6427.02;6427.02;6327.64
30/7/2025;6362.9;6381.23;6396.54;6336.38
29/7/2025;6370.86;6405.62;6409.26;6363.92
28/7/2025;6389.77;6397.69;6401.07;6375.79
25/7/2025;6388.64;6370.01;6395.82;6368.53
24/7/2025;6363.35;6368.6;6381.31;6360.57
23/7/2025;6358.91;6326.9;6360.64;6317.49
22/7/2025;6309.62;6306.6;6316.12;6281.71
21/7/2025;6305.6;6304.74;6336.08;6303.79
18/7/2025;6296.79;6312.95;6315.61;6285.27
17/7/2025;6297.36;6263.4;6304.69;6262.27
16/7/2025;6263.7;6254.5;6268.12;6201.59
15/7/2025;6243.76;6295.29;6302.04;6241.68
14/7/2025;6268.56;6255.15;6273.31;6239.22
11/7/2025;6259.75;6255.68;6269.44;6237.6
10/7/2025;6280.46;6266.8;6290.22;6251.44
9/7/2025;6263.26;6243.33;6269.16;6231.43
8/7/2025;6225.52;6234.03;6242.7;6217.75
7/7/2025;6229.98;6259.04;6262.07;6201
3/7/2025;6279.35;6246.46;6284.65;6246.46
2/7/2025;6227.42;6193.88;6227.6;6188.29
1/7/2025;6198.01;6187.25;6210.78;6177.97
30/6/2025;6204.95;6193.36;6215.08;6174.97
27/6/2025;6173.07;6150.7;6187.68;6132.35
26/6/2025;6141.02;6112.09;6146.52;6107.27
25/6/2025;6092.16;6104.23;6108.51;6080.09
24/6/2025;6092.18;6061.21;6101.76;6059.25
23/6/2025;6025.17;5969.67;6028.77;5943.23
20/6/2025;5967.84;5999.67;6018.2;5952.56
18/6/2025;5980.87;5987.93;6018.25;5971.89
17/6/2025;5982.72;6012.15;6023.25;5974.8
16/6/2025;6033.11;6004;6050.83;6004
13/6/2025;5976.97;6000.56;6026.16;5963.21
12/6/2025;6045.26;6009.9;6045.43;6003.88
11/6/2025;6022.24;6049.38;6059.4;6002.32
10/6/2025;6038.81;6009.91;6043.01;6000.28
9/6/2025;6005.88;6004.63;6021.31;5994.18
6/6/2025;6000.36;5987.06;6016.87;5978.63
5/6/2025;5939.3;5985.67;5999.7;5921.2
4/6/2025;5970.81;5978.94;5990.48;5966.11
3/6/2025;5970.37;5938.56;5981.35;5929
2/6/2025;5935.94;5896.68;5937.4;5861.43
30/5/2025;5911.69;5903.67;5922.14;5843.66
29/5/2025;5912.17;5939.96;5943.13;5873.8
28/5/2025;5888.55;5925.54;5939.92;5881.88
27/5/2025;5921.54;5854.07;5924.33;5854.07
23/5/2025;5802.82;5781.89;5829.51;5767.41
22/5/2025;5842.01;5841.26;5878.08;5825.82
21/5/2025;5844.61;5910.18;5938.37;5830.91
20/5/2025;5940.46;5944.66;5953.06;5909.26
19/5/2025;5963.6;5902.88;5968.61;5895.69
16/5/2025;5958.38;5929.09;5958.62;5907.36
15/5/2025;5916.93;5869.82;5924.21;5865.16
14/5/2025;5892.58;5896.74;5906.55;5872.11
13/5/2025;5886.55;5854.15;5906.64;5845.02
12/5/2025;5844.19;5807.2;5845.37;5786.08
9/5/2025;5659.91;5679.65;5691.69;5644.15
8/5/2025;5663.94;5663.6;5720.1;5635.38
7/5/2025;5631.28;5614.18;5654.73;5578.64
6/5/2025;5606.91;5605.87;5649.58;5586.04
5/5/2025;5650.38;5655.32;5683.38;5634.48
2/5/2025;5686.67;5645.88;5700.7;5642.28
1/5/2025;5604.14;5625.14;5658.91;5597.35
30/4/2025;5569.06;5499.44;5581.84;5433.24
29/4/2025;5560.83;5508.87;5571.95;5505.7
28/4/2025;5528.75;5529.22;5553.66;5468.64
25/4/2025;5525.21;5489.73;5528.11;5455.86
24/4/2025;5484.77;5381.38;5489.4;5371.96
23/4/2025;5375.86;5395.92;5469.69;5356.17
22/4/2025;5287.76;5207.67;5309.61;5207.67
21/4/2025;5158.2;5232.94;5232.94;5101.63
17/4/2025;5282.7;5305.45;5328.31;5255.58
16/4/2025;5275.7;5335.75;5367.24;5220.79
15/4/2025;5396.63;5411.99;5450.41;5386.44
14/4/2025;5405.97;5441.96;5459.46;5358.02
11/4/2025;5363.36;5255.56;5381.46;5220.77
10/4/2025;5268.05;5353.15;5353.15;5115.27
9/4/2025;5456.9;4965.28;5481.34;4948.43
8/4/2025;4982.77;5193.57;5267.47;4910.42
7/4/2025;5062.25;4953.79;5246.57;4835.04
4/4/2025;5074.08;5292.14;5292.14;5069.9
3/4/2025;5396.52;5492.74;5499.53;5390.83
2/4/2025;5670.97;5580.76;5695.31;5571.48
1/4/2025;5633.07;5597.53;5650.57;5558.52
31/3/2025;5611.85;5527.91;5627.56;5488.73
28/3/2025;5580.94;5679.2;5685.89;5572.42
27/3/2025;5693.31;5695.64;5732.28;5670.94
26/3/2025;5712.2;5771.66;5783.62;5694.41
25/3/2025;5776.65;5775.96;5786.95;5760.42
24/3/2025;5767.57;5718.08;5775.14;5718.08
21/3/2025;5667.56;5630.73;5670.84;5603.1
20/3/2025;5662.89;5646.92;5711.15;5632.33
19/3/2025;5675.29;5632.37;5715.33;5622.2
18/3/2025;5614.66;5654.53;5654.53;5597.76
17/3/2025;5675.12;5635.6;5703.52;5631.12
14/3/2025;5638.94;5563.85;5645.27;5563.85
13/3/2025;5521.52;5594.45;5597.78;5504.65
12/3/2025;5599.3;5624.84;5642.19;5546.09
